Scopus refine results values

"Your query : (PUBYEAR > 1 AND AFFILCOUNTRY(Iran) AND DOCTYPE(ar))"


Number of results : 842359

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
,,"1860","1","Venturi, A.","1312",,,,,,,"Journal Of Materials Engineering And Performance","824","Complication","7072","National Institute for Genetic Engineering and Biotechnology Iran","2869","Institut National de Physique Nucléaire et de Physique des Particules","705","Paraguay","94",,,,
,,"1859","2","Zabi, A.","1312",,,,,,,"Sensors And Actuators B Chemical","823","Disease Association","7064","Ardabil University of Medical Sciences","2865","Lorestan University of Medical Sciences","698","Gambia","93",,,,
,,"1845","3","Albrow, M.","1311",,,,,,,"Synthetic Communications","820","Cohort Analysis","6972","Children's Medical Center TUMS","2854","Sahand University of Technology","698","Macao","93",,,,
,,"1844","1","Barbagli, G.","1311",,,,,,,"Food Science And Nutrition","818","Epidemiology","6946","Materials and Energy Research Centre Iran","2825","Kharazmi University","687","Jamaica","83",,,,
,,"1840","1","Beauceron, S.","1311",,,,,,,"Iranian Biomedical Journal","818","Outcome Assessment","6931","Islamic Azad University, Qazvin Branch","2800","Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung","687","Rwanda","82",,,,
,,"1836","1","Borras, K.","1311",,,,,,,"Monatshefte Fur Chemie","817","Breast Cancer","6917","Faculty of Medicine","2783","Shahrekord University of Medical Sciences","685","Namibia","78",,,,
,,"1828","2","Botta, C.","1311",,,,,,,"Cell Journal","809","Numerical Model","6912","Ilam University of Medical Sciences","2775","Arak University","682","Fiji","74",,,,
,,"1818","1","Brigljevic, V.","1311",,,,,,,"Iranian Journal Of Allergy Asthma And Immunology","808","Quality Of Life","6900","Islamic Azad University, Tehran Medical Branch","2726","Council of Scientific and Industrial Research, India","679","Myanmar","74",,,,
,,,,"Butler, J.N.","1311",,,,,,,"Iranian Journal Of Parasitology","806","Kinetics","6894","Islamic Azad University, Shiraz Branch","2715","Gorgan University of Agricultural Sciences and Natural Resources","665","Bolivia","69",,,,
,,,,"Chanon, N.","1311",,,,,,,"Applied Physics A Materials Science And Processing","799","Oxidation","6872","Shahid Beheshti University of Medical Sciences, Research Institute for Endocrine Science","2714","Ardabil University of Medical Sciences","645","Guatemala","67",,,,
,,,,"Czellar, S.","1311",,,,,,,"Journal Of Magnetism And Magnetic Materials","797","Age","6869","Universiti Putra Malaysia","2702","National Academy of Sciences of Ukraine","644","Senegal","65",,,,
,,,,"De Filippis, N.","1311",,,,,,,"Journal Of Kerman University Of Medical Sciences","796","Glucose Blood Level","6854","Hormozgan University of Medical Sciences","2686","Birjand University of Medical Sciences","639","Moldova","64",,,,
,,,,"Demaria, N.","1311",,,,,,,"Journal Of The Earth And Space Physics","786","Antioxidants","6829","Hazrate Rasoole Akram Hospital","2663","University of Zabol","630","Malawi","63",,,,
,,,,"Dittmar, M.","1311",,,,,,,"Journal Of Environmental Chemical Engineering","784","Mortality","6782","Islamic Azad University, Rasht Branch","2640","National Institute for Genetic Engineering and Biotechnology","626","Cote d'Ivoire","59",,,,
,,,,"Dobur, D.","1311",,,,,,,"Journal Of Environmental Studies","782","Blood Sampling","6775","Sari University of Agricultural Sciences and Natural Resources","2579","Urmia University of Medical Sciences","624","Madagascar","58",,,,
,,,,"Erbacher, R.","1311",,,,,,,"Journal Of Supercomputing","781","Carbon Dioxide","6667","Qom University of Medical Sciences and Health Services","2537","Russian Academy of Sciences","618","Cambodia","57",,,,
,,,,"Ferencek, D.","1311",,,,,,,"Environmental Earth Sciences","772","Carbon","6661","School of Public Health","2530","Ministry of Business, Innovation and Employment","613","Barbados","56",,,,
,,,,"Funk, W.","1311",,,,,,,"Iranian Journal Of Microbiology","771","Hypertension","6660","SBUMS School of Pharmacy","2518","National Science Council","613","Federated States of Micronesia","54",,,,
,,,,"Gascon, S.","1311",,,,,,,"Multimedia Tools And Applications","765","MTT Assay","6654","Islamic Azad University, Ahvaz branch","2490","Hispanics in Philanthropy","611","Burkina Faso","50",,,,
,,,,"Gavrilov, V.","1311",,,,,,,"Journal Of Intelligent And Fuzzy Systems","759","Inflammation","6485","Petroleum University of Technology","2470","Belgian Federal Science Policy Office","605","Togo","49",,,,
,,,,"Giassi, A.","1311",,,,,,,"BMC Public Health","756","Machine Learning","6423","Aja University of Medical Sciences","2446","Fonds pour la Formation à la Recherche dans l’Industrie et dans l’Agriculture","599","Dominican Republic","48",,,,
,,,,"Glege, F.","1311",,,,,,,"Electric Power Systems Research","751","Clinical Feature","6419","Islamic Azad University, Kermanshah Branch","2427","Joint Institute for Nuclear Research","599","Democratic Republic Congo","47",,,,
,,,,"Goerlach, U.","1311",,,,,,,"Indian Journal Of Science And Technology","750","Coronavirus Disease 2019","6368","Universiteit Gent","2425","A.G. Leventis Foundation","596","Congo","44",,,,
,,,,"Gouzevitch, M.","1311",,,,,,,"Chemical Engineering Journal","748","Computer Assisted Tomography","6355","Malayer University","2416","National Key Research and Development Program of China","592","Papua New Guinea","43",,,,
,,,,"Grunewald, M.","1311",,,,,,,"International Journal Of Reproductive Biomedicine","745","Pathophysiology","6328","National Nutrition and Food Technology Research Institute, Shahid Beheshti University of Medical Sciences","2391","Alfred P. Sloan Foundation","591","Seychelles","41",,,,
,,,,"Gutsche, O.","1311",,,,,,,"Journal Of Military Medicine","745","Reliability","6227","Imperial College London","2370","Komarov Botanical Institute, Russian Academy of Sciences","586","Bhutan","40",,,,
,,,,"Hildreth, M.","1311",,,,,,,"Journal Of The Taiwan Institute Of Chemical Engineers","745","Depression","6226","Bushehr University of Medical Sciences","2264","Türkiye Atom Enerjisi Kurumu","585","Anguilla","37",,,,
,,,,"Hohlmann, M.","1311",,,,,,,"Industrial And Engineering Chemistry Research","742","Psychology","6215","Shaheed Rajaie Cardiovascular Medical and Research Center","2246","Yasouj University","583","Laos","35",,,,
,,,,"Ignatenko, M.","1311",,,,,,,"Communications In Algebra","740","Density Functional Theory","6212","Sapienza Università di Roma","2226","Ilam University","579","Libyan Arab Jamahiriya","34",,,,
,,,,"Jessop, C.","1311",,,,,,,"Tetrahedron Letters","739","Incidence","6212","Faculty of Medicine","2226","Agentschap voor Innovatie door Wetenschap en Technologie","578","New Caledonia","34",,,,
,,,,"Kadastik, M.","1311",,,,,,,"Eastern Mediterranean Health Journal","735","Simulation","6169","University of Hormozgan","2205","Drug Applied Research Center, Tabriz University of Medical Sciences","577","Honduras","33",,,,
,,,,"Konecki, M.","1311",,,,,,,"Tanaffos","733","Chemical Structure","6160","Institute for Color Science and Technology","2198","Qazvin University of Medical Sciences","574","Mali","30",,,,
,,,,"Lassila-Perini, K.","1311",,,,,,,"International Journal Of Environmental Analytical Chemistry","727","Infrared Spectroscopy","6128","Alma Mater Studiorum Università di Bologna","2175","General Secretariat for Research and Technology","572","Somalia","30",,,,
,,,,"Lehti, S.","1311",,,,,,,"Structural Engineering And Mechanics","726","Flow Cytometry","6118","Golestan University","2167","Louisiana Academy of Sciences","572","Guyana","28",,,,
,,,,"Magnan, A.M.","1311",,,,,,,"Polyhedron","725","Case-Control Studies","6102","Islamic Azad University, Shahrekord Branch","2162","Aja University of Medical Sciences","571","Liberia","26",,,,
,,,,"Maravin, Y.","1311",,,,,,,"AEU International Journal Of Electronics And Communications","724","Obesity","6073","Islamic Azad University, Yazd Branch","2160","University of Social Welfare and Rehabilitation Sciences","571","Niger","26",,,,
,,,,"Meijers, F.","1311",,,,,,,"Food Chemistry","723","Extraction","6058","Consejo Superior de Investigaciones Científicas","2146","Ministry of Education - Singapore","570","Burundi","22",,,,
,,,,"Meschi, E.","1311",,,,,,,"Neural Computing And Applications","722","Anxiety","5939","Texas A&amp;M University","2098","Ministerio de Ciencia e Innovación","560","Haiti","19",,,,
,,,,"Milenovic, P.","1311",,,,,,,"Iran Occupational Health","719","Experimental Study","5933","Faculty of Medicine, Kerman University of Medical Sciences","2098","Ministry of Education","559","El Salvador","17",,,,
,,,,"Undefined","2",,,,,,,"Undefined","2","Rats, Wistar","5932","University of California, Los Angeles","2094","Undefined","627660","Faroe Islands","17",,,,
