Scopus refine results values

"Your query : (PUBYEAR > 1 AND AFFILCOUNTRY(Iran) AND DOCTYPE(ar))"


Number of results : 842359

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
,,"2011","30814","Tapper, A.","1329","Immunology and Microbiology","27213",,,,,"Ceramics International","1902","Scanning Electron Microscopy","29994","Shiraz University of Medical Sciences","22222","Shiraz University","3760","Sweden","6367",,,"Serbian","21"
,,"2010","22229","Brew, C.","1325","Multidisciplinary","19793",,,,,"Iranian Journal Of Pharmaceutical Research","1886","Aged","29785","Shahid Beheshti University","22196","Isfahan University of Technology","3377","Poland","6146",,,"Lithuanian","19"
,,"2009","18847","Hoorani, H.R.","1322","Nursing","15315",,,,,"Medical Journal Of The Islamic Republic Of Iran","1877","Animal Experiment","27775","Mashhad University of Medical Sciences","20046","Ministry of Science and Technology of the People's Republic of China","3330","Iraq","5941",,,"Slovenian","17"
,,"2008","14648","Mundim, L.","1322","Business, Management and Accounting","14372",,,,,"Energy","1866","Animal","27603","Tabriz University of Medical Sciences","19475","Ahvaz Jundishapur University of Medical Sciences","2985","Switzerland","5901",,,"Korean","10"
,,"2007","11523","Blekman, F.","1319","Neuroscience","13638",,,,,"Desalination And Water Treatment","1855","Metabolism","26951","Payame Noor University","15481","University of Tabriz","2790","Russian Federation","5713",,,"Czech","9"
,,"2006","8494","Wallny, R.","1319","Arts and Humanities","13285",,,,,"International Journal Of Hydrogen Energy","1840","Cross-sectional Study","26590","University of Isfahan","15072","Institute for Research in Fundamental Sciences","2755","Saudi Arabia","5652",,,"Japanese","9"
,,"2005","6053","Lowette, S.","1317","Health Professions","12214",,,,,"Iranian Journal Of Public Health","1835","Chemistry","25194","K. N. Toosi University of Technology","13798","University of Kashan","2631","Pakistan","5380",,,"Ukrainian","9"
,,"2004","4502","Mersi, S.","1317","Decision Sciences","11763",,,,,"Environmental Science And Pollution Research","1806","Adolescent","23500","University of Guilan","13173","National Science Foundation","2629","Japan","5190",,,"Moldavian","5"
,,"2003","3486","Rohe, T.","1317","Veterinary","11299",,,,,"Journal Of Research In Medical Sciences","1797","Child","22064","Shahid Bahonar University of Kerman","12053","Kermanshah University of Medical Sciences","2553","Belgium","5096",,,"Moldovan","5"
,,"2002","2578","Azzurri, P.","1316","Dentistry","9164",,,,,"Asian Pacific Journal Of Cancer Prevention","1696","Procedures","21761","Urmia University","11417","Kerman University of Medical Sciences","2506","Brazil","4967",,,"Romanian","5"
,,"2001","1869","Camporesi, T.","1316","Psychology","8788",,,,,"Iranian Red Crescent Medical Journal","1691","Nanoparticles","21289","Ahvaz Jundishapur University of Medical Sciences","11094","Sharif University of Technology","2462","Taiwan","4719",,,"Hungarian","4"
,,"2000","1566","Clerbaux, B.","1316","Economics, Econometrics and Finance","6302",,,,,"Journal Of Alloys And Compounds","1691","Genetics","21111","Razi University","10806","National Institutes of Health","2457","Portugal","4688",,,"Slovak","4"
,,"1999","1294","Delaere, C.","1316","Undefined","53",,,,,"Iranian Journal Of Chemistry And Chemical Engineering","1686","Questionnaire","20874","Bu-Ali Sina University","10283","Hamadan University of Medical Sciences","2428","Finland","4560",,,"Estonian","3"
,,"1998","1063","Erdmann, W.","1316",,,,,,,"Iranian Journal Of Basic Medical Sciences","1615","Randomized Controlled Trial","20063","Kerman University of Medical Sciences","9960","National Research Foundation of Korea","2359","Austria","4536",,,"Latvian","3"
,,"1997","917","Giammanco, A.","1316",,,,,,,"Australian Journal Of Basic And Applied Sciences","1601","Animal Model","19595","School of Medicine","9322","National Institute for Medical Research Development","2304","Egypt","4359",,,"Georgian","2"
,,"1996","725","Hanson, G.","1316",,,,,,,"Journal Of Applied Polymer Science","1553","Drug Effect","18862","Institute for Studies in Theoretical Physics and Mathematics, Tehran","9289","Mazandaran University of Medical Sciences","2302","Denmark","4281",,,"Macedonian","2"
,,"1995","430","Horisberger, R.","1316",,,,,,,"World Applied Sciences Journal","1536","Optimization","18749","Mazandaran University of Medical Sciences","9264","Iran Nanotechnology Initiative Council","2197","Viet Nam","4106",,,"Malay","2"
,,"1994","359","Kotlinski, D.","1316",,,,,,,"Journal Of Molecular Structure","1475","Rat","18694","Shahid Chamran University of Ahvaz","9242","U.S. Department of Health and Human Services","2190","Czech Republic","4096",,,"Afrikaans","1"
,,"1993","314","Lustermann, W.","1316",,,,,,,"Iranian Journal Of Obstetrics Gynecology And Infertility","1440","Comparative Study","18620","Kermanshah University of Medical Sciences","9199","Deutsche Forschungsgemeinschaft","2172","South Africa","3768",,,"Finnish","1"
,,"1992","232","Malvezzi, S.","1316",,,,,,,"Pakistan Journal Of Biological Sciences","1425","Animal Tissue","17948","Semnan University","9155","Horizon 2020 Framework Programme","2040","Greece","3547",,,"catalan","1"
,,"1991","240","Ruchti, R.","1316",,,,,,,"Journal Of Cleaner Production","1423","Young Adult","17832","Kharazmi University","8766","Fundação para a Ciência e a Tecnologia","1977","Mexico","3271",,,"Undefined","14"
,,"1990","176","Schleper, P.","1316",,,,,,,"Journal Of Materials Science Materials In Electronics","1384","Prevalence","17288","Yazd University","8603","Ministry of Science Research and Technology","1916","New Zealand","3209",,,,
,,"1989","192","Starodumov, A.","1316",,,,,,,"Energy Conversion And Management","1375","Human Cell","16923","University of Kashan","8568","Shahid Chamran University of Ahvaz","1914","Hungary","2970",,,,
,,"1988","156","Swartz, M.","1316",,,,,,,"IEEE Access","1375","Fourier Transform Infrared Spectroscopy","15921","University of Mazandaran","8551","Iran's National Elites Foundation","1850","Thailand","2915",,,,
,,"1987","130","Waltenberger, W.","1316",,,,,,,"Applied Organometallic Chemistry","1372","Follow Up","15511","Hamadan University of Medical Sciences","8312","Government of Canada","1780","Ireland","2702",,,,
,,"1986","145","Yazgan, E.","1316",,,,,,,"Construction And Building Materials","1360","Gene Expression","15352","Shahrood University of Technology","8081","European Regional Development Fund","1770","Norway","2588",,,,
