Scopus refine results values

"Your query : (PUBYEAR > 1 AND DOCTYPE(ar) AND ( LIMIT-TO ( SUBJAREA,""MEDI"" ) OR LIMIT-TO ( SUBJAREA,""BIOC"" ) OR LIMIT-TO ( SUBJAREA,""IMMU"" ) OR LIMIT-TO ( SUBJAREA,""PHAR"" ) OR LIMIT-TO ( SUBJAREA,""AGRI"" ) OR LIMIT-TO ( SUBJAREA,""NEUR"" ) ) )"


Number of results : 35718543

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
,,"2010","719686","Mori, M.","1594","Computer Science","404871",,,,,"Cancer Research","53575","Unclassified Drug","2425191","University of Pennsylvania","119126","Conselho Nacional de Desenvolvimento Científico e Tecnológico","166372","Turkey","441049",,,"Korean","36036"
,,"2009","690424","Bhatt, D.L.","1538","Earth and Planetary Sciences","392675",,,,,"Journal Of Agricultural And Food Chemistry","52294","Clinical Article","2400522","University of Minnesota Twin Cities","117803","National Institute of Neurological Disorders and Stroke","158408","Russian Federation","437265",,,"Norwegian","34580"
,,"2008","652815","Bax, J.J.","1518","Veterinary","329447",,,,,"Tetrahedron","49177","Case Report","2282911","Mayo Clinic","115920","Medical Research Council","142849","Poland","408647",,,"Bulgarian","32697"
,,"2007","627899","Montorsi, F.","1470","Arts and Humanities","254177",,,,,"Molecules","49164","Adolescent","2154221","University of California, San Diego","115538","National Institute of Mental Health","139930","Belgium","375702",,,"Romanian","31307"
,,"2006","591044","Blennow, K.","1457","Mathematics","191261",,,,,"FEBS Letters","48880","Child","1901532","University College London","113722","Government of Canada","135686","Iran","356015",,,"Serbian","30983"
,,"2005","548669","Holst, J.J.","1435","Dentistry","137125",,,,,"Nucleic Acids Research","48797","Genetics","1878763","The University of Tokyo","113721","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior","130244","Denmark","348558",,,"Ukrainian","28127"
,,"2004","514975","Azizi, F.","1417","Energy","100692",,,,,"Fresenius Zeitschrift Fur Analytische Chemie","48627","Mouse","1740150","Johns Hopkins University School of Medicine","113463","National Institute on Aging","119218","Taiwan","291005",,,"Persian","24085"
,,"2003","487944","Cruse, K.","1414","Economics, Econometrics and Finance","71243",,,,,"Journal Of Bacteriology","48216","Rat","1725851","Brigham and Women's Hospital","112652","National Research Foundation of Korea","116787","Austria","273771",,,"Slovak","23086"
,,"2002","491208","Pawlik, T.M.","1411","Business, Management and Accounting","67238",,,,,"Journal Of Virology","48208","Human Cell","1713062","University of Melbourne","111451","Horizon 2020 Framework Programme","114506","Israel","269508",,,"Moldavian","21233"
,,"2001","488754","Müller, E.","1406","Multidisciplinary","63920",,,,,"Biochemical Journal","47541","Pathology","1544529","The University of British Columbia","109909","Seventh Framework Programme","104117","Norway","231320",,,"Moldovan","21233"
,,"2000","481623","Büchler, M.W.","1391","Decision Sciences","32912",,,,,"Federation Proceedings","47130","Physiology","1536407","University of Oxford","109669","U.S. Public Health Service","95380","Finland","230558",,,"Finnish","13017"
,,"1999","478519","Ferrucci, L.","1389",,,,,,,"Annals Of The New York Academy Of Sciences","45358","Animal Cell","1487082","The University of North Carolina at Chapel Hill","108291","Natural Sciences and Engineering Research Council of Canada","95225","Mexico","219176",,,"Croatian","12735"
,,"1998","481053","Doki, Y.","1381",,,,,,,"Proceedings Of The Society For Experimental Biology And Medicine","43304","Animal Tissue","1476164","UCSF School of Medicine","107283","Ministry of Education of the People's Republic of China","95156","South Africa","203076",,,"Hebrew","12321"
,,"1997","490214","Stone, G.W.","1360",,,,,,,"Journal Of Physiology","41907","Comparative Study","1383785","University of Florida","105059","Eunice Kennedy Shriver National Institute of Child Health and Human Development","92957","Egypt","194111",,,"Greek","8252"
,,"1996","480653","Koren, G.","1358",,,,,,,"Food Chemistry","41586","Mice","1355937","Yale School of Medicine","104885","National Institute on Drug Abuse","89242","Czech Republic","186655",,,"Arabic","3586"
,,"1995","442848","Chayama, K.","1357",,,,,,,"Blood","41572","Procedures","1336271","University of Wisconsin-Madison","104367","Fundamental Research Funds for the Central Universities","88781","New Zealand","177906",,,"Slovenian","3105"
,,"1994","432366","Denk, G.","1356",,,,,,,"Journal Of Urology","41398","Animal Model","1335799","Københavns Universitet","104048","Wellcome Trust","87373","Argentina","168241",,,"Indonesian","2689"
,,"1993","415519","Beijnen, J.H.","1337",,,,,,,"Organic Letters","40469","Follow Up","1331750","University of California, Davis","103829","European Regional Development Fund","86965","Greece","167218",,,"Afrikaans","2499"
,,"1992","398895","Cabot, R.C.","1330",,,,,,,"New England Journal Of Medicine","39594","Rats","1304687","The University of Sydney","103144","Canadian Institutes of Health Research","82236","Portugal","165818",,,"Bosnian","1982"
,,"1991","399443","Bloom, S.R.","1323",,,,,,,"Cancer","39342","Treatment Outcome","1268828","Columbia University","100009","National Health and Medical Research Council","81252","Saudi Arabia","163820",,,"Lithuanian","1532"
,,"1990","403167","Cooper, C.","1312",,,,,,,"International Journal Of Biological Macromolecules","39155","Retrospective Study","1264859","Kyoto University","99782","National Center for Research Resources","75298","Hungary","147280",,,"Icelandic","1301"
,,"1989","413797","Dyer, C.","1306",,,,,,,"Journal Of Neuroscience","38726","Methodology","1251473","Ludwig-Maximilians-Universität München","96434","Fundação de Amparo à Pesquisa do Estado de São Paulo","71318","Thailand","144059",,,"Azerbaijani","1260"
,,"1988","405424","Lang, F.","1295",,,,,,,"JAMA The Journal Of The American Medical Association","38197","In Vitro Study","1241333","Washington University School of Medicine in St. Louis","95299","National Eye Institute","69590","Pakistan","140865",,,"catalan","1064"
,,"1987","380967","Shariat, S.F.","1295",,,,,,,"Journal Of Organometallic Chemistry","38163","Drug Effect","1225106","Imperial College London","93197","Ministerio de Economía y Competitividad","68806","Ireland","131083",,,"Thai","940"
,,"1986","372394","Khaw, K.T.","1294",,,,,,,"American Journal Of Obstetrics And Gynecology","37961","Protein Expression","1149051","INRAE","93194","National Center for Advancing Translational Sciences","66790","Malaysia","130326",,,"Estonian","530"
,,"1985","384797","Nicolaides, K.H.","1289",,,,,,,"Ugeskrift For Laeger","37853","Chemistry","1141643","Sapienza Università di Roma","91816","Chinese Academy of Sciences","66071","Hong Kong","125524",,,"Malay","114"
,,"1984","369598","Wong, T.Y.","1288",,,,,,,"Endocrinology","37750","Human Tissue","1137992","University of Cambridge","91583","U.S. Department of Agriculture","64002","Singapore","118654",,,"Macedonian","109"
,,"1983","345318","Barkhof, F.","1286",,,,,,,"Sensors","37600","Retrospective Studies","1030938","University of Chinese Academy of Sciences","91494","China Postdoctoral Science Foundation","62508","Indonesia","111402",,,"Albanian","54"
,,"1982","356266","Bellomo, R.","1286",,,,,,,"Analytica Chimica Acta","37265","United States","1029098","Charité – Universitätsmedizin Berlin","91235","European Research Council","62070","Nigeria","103833",,,"Urdu","42"
,,"1981","348026","Stein, D.J.","1279",,,,,,,"Circulation","36459","Young Adult","1015816","Johns Hopkins University","90897","National Institute of Environmental Health Sciences","61303","Chile","101776",,,"Armenian","39"
,,"1980","336078","Jones, R.N.","1277",,,,,,,"Neuroscience Letters","36344","Risk Factor","969869","The University of Queensland","90787","Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung","58977","Romania","84362",,,"Georgian","37"
,,"1979","340335","Martin, N.G.","1274",,,,,,,"American Journal Of Cardiology","36114","Diagnosis","925126","Università degli Studi di Milano","90671","Department of Health and Aged Care, Australian Government","58756","Colombia","80598",,,"Latvian","28"
